PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,CLASSIFICATION,INFRASTRUCTURE,"NUMBER OF DAMAGED",UNIT,"QUANTITY [number]",STATUS,"COST(PHP) [number]",REMARKS
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,77738,"Damaged roofing<br>due to tree<br>collapse in the<br>Ambulance<br>Parking roofing"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,80000,"Broken/bent<br>concrete electrical<br>post due to strong<br>winds in front of<br>Surgery Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,8000,"Damaged/broken<br>ACP cladding in<br>LRDR Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,3000,"Damaged/broken<br>roof gutters in the<br>Supply Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,43500,"Damaged/broken<br>roof gutter and<br>spandrels in the<br>Dietary Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,4500,"Damaged/broken<br>roofing sheets and<br>gutter in the<br>Storage Facility"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,35000,"Shattered glass<br>window in<br>Radiology Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,18500,"Damaged/broken<br>roof gutters in<br>Medical Ward Bldg and broken<br>exhaust propeller<br>due to strong<br>winds at RICU"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,266500,"Collapsed entrance<br>ceiling and<br>tempered glass<br>panels, fallen<br>ceiling lights due<br>to strong winds in<br>the Medical<br>Annex Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,55000,"Damaged ceiling<br>and roof due to<br>strong winds in<br>the ER Bldg"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,35000,"Damaged/broken<br>ACP cladding and<br>metal spandrel in<br>the Subspecialty<br>Bldg"
