PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"FAMILIES [number]","MALE [number]","FEMALE [number]","TOTAL (Note: If the available data is ""Total Persons"", please input/encode in this column) [number]",REMARKS
"ILOCOS SUR","Candon City","Brgy. Langlangca 2nd, Brgy. Darapidap, Brgy. Talogtog",51,0,0,152,"Respective Brgy. EC"
"ILOCOS SUR",Caoayan,Puro,96,0,0,242,"Caoayan Municipal Hall<br> Balay ti Ili Evacuation Center<br> DDQ Caoayan Ilocos Sur"
"ILOCOS SUR",Salcedo,none,15,0,0,42,"Municipal Evacuation Center"
"ILOCOS SUR","San Esteban",none,43,0,0,136,"San Esteban Evacuation Center<br> San Esteban Civic Center"
"ILOCOS SUR","San Vicente","Bayubay Sur",9,0,0,25,"San Vicente Evacuation Center"
"ILOCOS SUR",Santiago,"Gabao, Danar, Butol",17,0,0,44,"Municipal Evacuation Center<br> Barangay Evacuation Center<br> Outside Evacuation Center"
"ILOCOS SUR",Sigay,"Abaccan, Mabileg, San Ramon, Poblacion, Sto. Rosario",19,0,0,45,"Barangay Evacuation Center<br> Neighbors Relatives"
"ILOCOS SUR",Sinait,"Sabangan, Ricudo, Ballaigui, Masadag, Paratong, Baliw, Rang ay, Nagcullooban",24,0,0,76,"Municipal Evacuation Center"
"ILOCOS SUR","Sta. Cruz","Capariaan, Las ud, Mambog, Quinsoriano, Villa Hermosa",259,0,0,715,"Sta. Cruz Sports Complex,<br> Barangay Evacuation Center,<br> Youth Center,<br> Neighbors Relatives"
"ILOCOS SUR","Santa Lucia",none,6,0,0,23,
"ILOCOS SUR",Sugpon,"Balbalayang, Banga, Pangotan, Danac",43,0,0,152,"Barangay Evacuation Center<br> Neighbors Relatives"
"ILOCOS SUR",Suyo,Poblacion,1,0,0,2,Relatives
"ILOCOS SUR",Tagudin,"Farola, Pudoc East, Libtong, Bimmanga, Sawat, Jardin",210,0,0,660,"Bucao Evacuation Center<br> Baracbac Community School"
"ILOCOS SUR","Vigan City","Rugsuanan, San Julian Norte, Mindoro, Raois, Pantay Daya, Camanggaan, Capangpangan",204,0,0,570,"Barangay Evacuation Centers<br> San Julian Elementary School<br> Raois Elementary School<br> Jose Singson Elementary School<br> Camangaan Elementary School<br> Capangpangan Elementary School"
"LA UNION","Santo Tomas",Ambitacay,3,0,0,8,"Ambitacay Multi Purpose Hall"
"LA UNION","Santo Tomas"," Balaoc",3,,,6," Santo Tomas National High School"
"LA UNION","Santo Tomas"," Balaoc",3,,,11," Balaoc Elementary School"
"LA UNION","Santo Tomas"," Baybay",1,,,4," Baybay Multi-Purpose Hall"
"LA UNION","Santo Tomas",Cabaruan,2,,,4,"Santo Tomas National High School"
"LA UNION","Santo Tomas",Cabaruan,45,,,107," Santo Tomas Central School"
"LA UNION","Santo Tomas",Cabaruan,54,,,185," Cabaruan Integrated School"
"LA UNION","Santo Tomas",Cabaruan,1,,,3," Outside Evacuation"
"LA UNION","Santo Tomas",Casantaan,1,,,5," Outside Evacuation"
"LA UNION","Santo Tomas",Casilagan,3,,,7,"Casilagan Elementary School"
"LA UNION","Santo Tomas"," Cupang",8,,,34," Outside Evacuation"
"LA UNION","Santo Tomas"," Cupang",5,,,16,"Cupang Multi Purpose Hall"
"LA UNION","Santo Tomas"," Damortis",10,,,34," Damortis Multi Purpose Hall"
"LA UNION","Santo Tomas"," Linong",2,,,11,"Linong Multi Purpose Hall"
"LA UNION","Santo Tomas",Lomboy,13,,,30," Lomboy Multi Purpose Hall"
"LA UNION","Santo Tomas"," Malabago",2,,,5,"Malabago Multi Purpose Hall"
"LA UNION","Santo Tomas",Namboongan,1,,,3,"Namboongan Elementary School"
"LA UNION","Santo Tomas",Namboongan,1,,,7,"Namboongan Multi Purpose Hall"
"LA UNION","Santo Tomas",Namonitan,16,,,59," Outside Evacuation"
"LA UNION","Santo Tomas",Namonitan,1,,,5," Namonitan Multi Purpose Hall"
"LA UNION","Santo Tomas",Narvacan,27,,,37," Narvacan Multi Purpose Hall"
"LA UNION","Santo Tomas",Narvacan,6,,,25," Narvacan Elementary School"
